job,rep,n_qubits,exp_val,n_shots,ideal,timestamp
j9_allan_probe,52,4,0.767578,2048,0.981197,2026-06-21T15:57:02.209211+00:00
j9_allan_probe,53,4,0.781250,2048,0.981197,2026-06-21T15:57:09.208672+00:00
j9_allan_probe,54,4,0.768555,2048,0.981197,2026-06-21T15:57:14.062013+00:00
j9_allan_probe,55,4,0.777344,2048,0.981197,2026-06-21T15:57:21.105601+00:00
j9_allan_probe,56,4,0.765625,2048,0.981197,2026-06-21T15:57:28.123463+00:00
j9_allan_probe,57,4,0.760742,2048,0.981197,2026-06-21T15:57:32.962950+00:00
j9_allan_probe,58,4,0.785156,2048,0.981197,2026-06-21T15:57:39.963769+00:00
j9_allan_probe,59,4,0.748047,2048,0.981197,2026-06-21T15:57:46.994636+00:00
j9_allan_probe,60,4,0.768555,2048,0.981197,2026-06-21T15:57:54.111796+00:00
j9_allan_probe,61,4,0.775391,2048,0.981197,2026-06-21T15:57:58.813878+00:00
j9_allan_probe,62,4,0.772461,2048,0.981197,2026-06-21T15:58:05.701548+00:00
j9_allan_probe,63,4,0.792969,2048,0.981197,2026-06-21T15:58:12.759016+00:00
j9_allan_probe,64,4,0.779297,2048,0.981197,2026-06-21T15:58:17.527842+00:00
j9_allan_probe,65,4,0.746094,2048,0.981197,2026-06-21T15:58:24.499914+00:00
j9_allan_probe,66,4,0.759766,2048,0.981197,2026-06-21T15:58:31.660762+00:00
j9_allan_probe,67,4,0.787109,2048,0.981197,2026-06-21T15:58:38.783165+00:00
j9_allan_probe,68,4,0.784180,2048,0.981197,2026-06-21T15:58:43.582112+00:00
j9_allan_probe,69,4,0.785156,2048,0.981197,2026-06-21T15:58:50.662392+00:00
j9_allan_probe,70,4,0.761719,2048,0.981197,2026-06-21T15:58:57.667128+00:00
j9_allan_probe,71,4,0.732422,2048,0.981197,2026-06-21T15:59:04.699982+00:00
j9_allan_probe,72,4,0.757812,2048,0.981197,2026-06-21T15:59:09.639155+00:00
j9_allan_probe,73,4,0.739258,2048,0.981197,2026-06-21T15:59:16.514847+00:00
j9_allan_probe,74,4,0.742188,2048,0.981197,2026-06-21T15:59:23.479284+00:00
j9_allan_probe,75,4,0.769531,2048,0.981197,2026-06-21T15:59:30.545423+00:00
j9_allan_probe,76,4,0.754883,2048,0.981197,2026-06-21T15:59:35.424760+00:00
j9_allan_probe,77,4,0.758789,2048,0.981197,2026-06-21T15:59:42.427162+00:00
j9_allan_probe,78,4,0.788086,2048,0.981197,2026-06-21T15:59:49.394862+00:00
j9_allan_probe,79,4,0.772461,2048,0.981197,2026-06-21T15:59:54.207415+00:00
j9_allan_probe,80,4,0.755859,2048,0.981197,2026-06-21T16:00:01.076564+00:00
j9_allan_probe,81,4,0.783203,2048,0.981197,2026-06-21T16:00:08.079066+00:00
j9_allan_probe,82,4,0.776367,2048,0.981197,2026-06-21T16:00:15.138582+00:00
j9_allan_probe,83,4,0.755859,2048,0.981197,2026-06-21T16:00:19.992071+00:00
j9_allan_probe,84,4,0.772461,2048,0.981197,2026-06-21T16:00:27.064218+00:00
j9_allan_probe,85,4,0.736328,2048,0.981197,2026-06-21T16:00:31.920291+00:00
j9_allan_probe,86,4,0.782227,2048,0.981197,2026-06-21T16:00:38.745999+00:00
j9_allan_probe,87,4,0.766602,2048,0.981197,2026-06-21T16:00:45.549244+00:00
j9_allan_probe,88,4,0.779297,2048,0.981197,2026-06-21T16:00:52.344791+00:00
j9_allan_probe,89,4,0.774414,2048,0.981197,2026-06-21T16:00:59.182611+00:00
j9_allan_probe,90,4,0.776367,2048,0.981197,2026-06-21T16:01:03.889458+00:00
j9_allan_probe,91,4,0.795898,2048,0.981197,2026-06-21T16:01:10.833931+00:00
j9_allan_probe,92,4,0.792969,2048,0.981197,2026-06-21T16:01:17.771809+00:00
j9_allan_probe,93,4,0.768555,2048,0.981197,2026-06-21T16:01:24.648706+00:00
j9_allan_probe,94,4,0.749023,2048,0.981197,2026-06-21T16:01:29.499043+00:00
j9_allan_probe,95,4,0.765625,2048,0.981197,2026-06-21T16:01:36.519926+00:00
j9_allan_probe,96,4,0.762695,2048,0.981197,2026-06-21T16:01:43.504485+00:00
j9_allan_probe,97,4,0.777344,2048,0.981197,2026-06-21T16:01:50.615168+00:00
j9_allan_probe,98,4,0.778320,2048,0.981197,2026-06-21T16:01:55.455262+00:00
j9_allan_probe,99,4,0.784180,2048,0.981197,2026-06-21T16:02:02.576194+00:00
j9_allan_probe,100,4,0.776367,2048,0.981197,2026-06-21T16:02:09.599410+00:00
j9_allan_probe,101,4,0.765625,2048,0.981197,2026-06-21T16:02:14.368037+00:00
j9_allan_probe,102,4,0.730469,2048,0.981197,2026-06-21T16:02:21.484045+00:00
j9_allan_probe,103,4,0.760742,2048,0.981197,2026-06-21T16:02:28.587230+00:00
j9_allan_probe,104,4,0.765625,2048,0.981197,2026-06-21T16:02:33.456072+00:00
j9_allan_probe,105,4,0.760742,2048,0.981197,2026-06-21T16:02:40.451306+00:00
j9_allan_probe,106,4,0.756836,2048,0.981197,2026-06-21T16:02:47.474624+00:00
j9_allan_probe,107,4,0.785156,2048,0.981197,2026-06-21T16:02:54.425373+00:00
j9_allan_probe,108,4,0.775391,2048,0.981197,2026-06-21T16:02:59.151277+00:00
j9_allan_probe,109,4,0.750977,2048,0.981197,2026-06-21T16:03:05.966291+00:00
j9_allan_probe,110,4,0.739258,2048,0.981197,2026-06-21T16:03:12.997854+00:00
j9_allan_probe,111,4,0.760742,2048,0.981197,2026-06-21T16:03:20.109701+00:00
j9_allan_probe,112,4,0.745117,2048,0.981197,2026-06-21T16:03:24.950153+00:00
j9_allan_probe,113,4,0.765625,2048,0.981197,2026-06-21T16:03:32.071052+00:00
j9_allan_probe,114,4,0.760742,2048,0.981197,2026-06-21T16:03:37.062604+00:00
j9_allan_probe,115,4,0.759766,2048,0.981197,2026-06-21T16:03:46.231947+00:00
j9_allan_probe,116,4,0.779297,2048,0.981197,2026-06-21T16:03:51.157269+00:00
j9_allan_probe,117,4,0.762695,2048,0.981197,2026-06-21T16:03:58.081910+00:00
j9_allan_probe,118,4,0.743164,2048,0.981197,2026-06-21T16:04:02.879523+00:00
j9_allan_probe,119,4,0.769531,2048,0.981197,2026-06-21T16:04:09.925275+00:00
j9_allan_probe,120,4,0.763672,2048,0.981197,2026-06-21T16:04:16.995907+00:00
j9_allan_probe,121,4,0.770508,2048,0.981197,2026-06-21T16:04:23.994919+00:00
j9_allan_probe,122,4,0.789062,2048,0.981197,2026-06-21T16:04:28.887751+00:00
j9_allan_probe,123,4,0.772461,2048,0.981197,2026-06-21T16:04:36.081136+00:00
j9_allan_probe,124,4,0.750977,2048,0.981197,2026-06-21T16:04:43.233240+00:00
j9_allan_probe,125,4,0.790039,2048,0.981197,2026-06-21T16:04:47.996307+00:00
j9_allan_probe,126,4,0.754883,2048,0.981197,2026-06-21T16:04:55.182609+00:00
j9_allan_probe,127,4,0.750000,2048,0.981197,2026-06-21T16:05:00.162440+00:00
j9_allan_probe,128,4,0.742188,2048,0.981197,2026-06-21T16:05:07.070747+00:00
j9_allan_probe,129,4,0.753906,2048,0.981197,2026-06-21T16:05:13.894604+00:00
j9_allan_probe,130,4,0.765625,2048,0.981197,2026-06-21T16:05:20.770285+00:00
j9_allan_probe,131,4,0.796875,2048,0.981197,2026-06-21T16:05:27.658251+00:00
j9_allan_probe,132,4,0.774414,2048,0.981197,2026-06-21T16:05:34.443137+00:00
j9_allan_probe,133,4,0.787109,2048,0.981197,2026-06-21T16:05:39.226682+00:00
j9_allan_probe,134,4,0.755859,2048,0.981197,2026-06-21T16:05:46.103126+00:00
j9_allan_probe,135,4,0.752930,2048,0.981197,2026-06-21T16:05:52.844365+00:00
j9_allan_probe,136,4,0.785156,2048,0.981197,2026-06-21T16:05:59.620155+00:00
j9_allan_probe,137,4,0.788086,2048,0.981197,2026-06-21T16:06:06.623370+00:00
