job,schedule,label,rep,n_qubits,exp_val,n_shots,ideal,timestamp
j12_drift_design_long,interleaved,A,26,4,0.751953,4096,0.981197,2026-06-21T18:10:53.046705+00:00
j12_drift_design_long,interleaved,B,26,4,0.773438,4096,0.981197,2026-06-21T18:11:05.981426+00:00
j12_drift_design_long,interleaved,A,27,4,0.764648,4096,0.981197,2026-06-21T18:11:16.793513+00:00
j12_drift_design_long,interleaved,B,27,4,0.750488,4096,0.981197,2026-06-21T18:11:29.790548+00:00
j12_drift_design_long,interleaved,A,28,4,0.763184,4096,0.981197,2026-06-21T18:11:42.783115+00:00
j12_drift_design_long,interleaved,B,28,4,0.757324,4096,0.981197,2026-06-21T18:11:55.623551+00:00
j12_drift_design_long,interleaved,A,29,4,0.747070,4096,0.981197,2026-06-21T18:12:08.485438+00:00
j12_drift_design_long,interleaved,B,29,4,0.746094,4096,0.981197,2026-06-21T18:12:21.413244+00:00
j12_drift_design_long,interleaved,A,30,4,0.766113,4096,0.981197,2026-06-21T18:12:34.419586+00:00
j12_drift_design_long,interleaved,B,30,4,0.757324,4096,0.981197,2026-06-21T18:12:47.290204+00:00
j12_drift_design_long,interleaved,A,31,4,0.757324,4096,0.981197,2026-06-21T18:12:58.057682+00:00
j12_drift_design_long,interleaved,B,31,4,0.773438,4096,0.981197,2026-06-21T18:13:10.857064+00:00
j12_drift_design_long,interleaved,A,32,4,0.751953,4096,0.981197,2026-06-21T18:13:26.078950+00:00
j12_drift_design_long,interleaved,B,32,4,0.753906,4096,0.981197,2026-06-21T18:13:36.894617+00:00
j12_drift_design_long,interleaved,A,33,4,0.765137,4096,0.981197,2026-06-21T18:13:49.751555+00:00
j12_drift_design_long,interleaved,B,33,4,0.755859,4096,0.981197,2026-06-21T18:14:02.835316+00:00
j12_drift_design_long,interleaved,A,34,4,0.777344,4096,0.981197,2026-06-21T18:14:15.873918+00:00
j12_drift_design_long,interleaved,B,34,4,0.770020,4096,0.981197,2026-06-21T18:14:28.618079+00:00
j12_drift_design_long,interleaved,A,35,4,0.755371,4096,0.981197,2026-06-21T18:14:41.414978+00:00
j12_drift_design_long,interleaved,B,35,4,0.755859,4096,0.981197,2026-06-21T18:14:54.423842+00:00
j12_drift_design_long,interleaved,A,36,4,0.750488,4096,0.981197,2026-06-21T18:15:07.264624+00:00
j12_drift_design_long,interleaved,B,36,4,0.752930,4096,0.981197,2026-06-21T18:15:17.952489+00:00
j12_drift_design_long,interleaved,A,37,4,0.757812,4096,0.981197,2026-06-21T18:15:33.159254+00:00
j12_drift_design_long,interleaved,B,37,4,0.754883,4096,0.981197,2026-06-21T18:15:43.971788+00:00
j12_drift_design_long,interleaved,A,38,4,0.765137,4096,0.981197,2026-06-21T18:15:57.059318+00:00
j12_drift_design_long,interleaved,B,38,4,0.765625,4096,0.981197,2026-06-21T18:16:09.935104+00:00
j12_drift_design_long,interleaved,A,39,4,0.754883,4096,0.981197,2026-06-21T18:16:22.751751+00:00
j12_drift_design_long,interleaved,B,39,4,0.769043,4096,0.981197,2026-06-21T18:16:35.607173+00:00
j12_drift_design_long,interleaved,A,40,4,0.748047,4096,0.981197,2026-06-21T18:16:48.590078+00:00
j12_drift_design_long,interleaved,B,40,4,0.754883,4096,0.981197,2026-06-21T18:17:01.342222+00:00
j12_drift_design_long,interleaved,A,41,4,0.749512,4096,0.981197,2026-06-21T18:17:14.338261+00:00
j12_drift_design_long,interleaved,B,41,4,0.768066,4096,0.981197,2026-06-21T18:17:27.071131+00:00
j12_drift_design_long,interleaved,A,42,4,0.764160,4096,0.981197,2026-06-21T18:17:39.788636+00:00
j12_drift_design_long,interleaved,B,42,4,0.762695,4096,0.981197,2026-06-21T18:17:52.634359+00:00
j12_drift_design_long,interleaved,A,43,4,0.747070,4096,0.981197,2026-06-21T18:18:03.602287+00:00
j12_drift_design_long,interleaved,B,43,4,0.771484,4096,0.981197,2026-06-21T18:18:16.615600+00:00
j12_drift_design_long,interleaved,A,44,4,0.750977,4096,0.981197,2026-06-21T18:18:29.647825+00:00
j12_drift_design_long,interleaved,B,44,4,0.765625,4096,0.981197,2026-06-21T18:18:42.774854+00:00
j12_drift_design_long,interleaved,A,45,4,0.769531,4096,0.981197,2026-06-21T18:18:55.718980+00:00
j12_drift_design_long,interleaved,B,45,4,0.773926,4096,0.981197,2026-06-21T18:19:08.765685+00:00
j12_drift_design_long,interleaved,A,46,4,0.762207,4096,0.981197,2026-06-21T18:19:21.921103+00:00
j12_drift_design_long,interleaved,B,46,4,0.761230,4096,0.981197,2026-06-21T18:19:32.839946+00:00
j12_drift_design_long,interleaved,A,47,4,0.765137,4096,0.981197,2026-06-21T18:19:45.913294+00:00
j12_drift_design_long,interleaved,B,47,4,0.742188,4096,0.981197,2026-06-21T18:19:58.956824+00:00
j12_drift_design_long,interleaved,A,48,4,0.776367,4096,0.981197,2026-06-21T18:20:11.896736+00:00
j12_drift_design_long,interleaved,B,48,4,0.748047,4096,0.981197,2026-06-21T18:20:24.899332+00:00
j12_drift_design_long,interleaved,A,49,4,0.766602,4096,0.981197,2026-06-21T18:20:35.833157+00:00
j12_drift_design_long,interleaved,B,49,4,0.766602,4096,0.981197,2026-06-21T18:20:51.042826+00:00
j12_drift_design_long,interleaved,A,50,4,0.757812,4096,0.981197,2026-06-21T18:21:01.785520+00:00
j12_drift_design_long,interleaved,B,50,4,0.761230,4096,0.981197,2026-06-21T18:21:14.765994+00:00
j12_drift_design_long,interleaved,A,51,4,0.763184,4096,0.981197,2026-06-21T18:21:27.660674+00:00
j12_drift_design_long,interleaved,B,51,4,0.760254,4096,0.981197,2026-06-21T18:21:40.614374+00:00
j12_drift_design_long,interleaved,A,52,4,0.743164,4096,0.981197,2026-06-21T18:21:53.676309+00:00
j12_drift_design_long,interleaved,B,52,4,0.769531,4096,0.981197,2026-06-21T18:22:06.708901+00:00
j12_drift_design_long,interleaved,A,53,4,0.745117,4096,0.981197,2026-06-21T18:22:19.534907+00:00
j12_drift_design_long,interleaved,B,53,4,0.774902,4096,0.981197,2026-06-21T18:22:32.360189+00:00
j12_drift_design_long,interleaved,A,54,4,0.758301,4096,0.981197,2026-06-21T18:22:45.229343+00:00
j12_drift_design_long,interleaved,B,54,4,0.767578,4096,0.981197,2026-06-21T18:22:56.001081+00:00
j12_drift_design_long,interleaved,A,55,4,0.758789,4096,0.981197,2026-06-21T18:23:09.140525+00:00
j12_drift_design_long,interleaved,B,55,4,0.766113,4096,0.981197,2026-06-21T18:23:22.150901+00:00
j12_drift_design_long,interleaved,A,56,4,0.765625,4096,0.981197,2026-06-21T18:23:35.254013+00:00
j12_drift_design_long,interleaved,B,56,4,0.770508,4096,0.981197,2026-06-21T18:23:48.247668+00:00
j12_drift_design_long,interleaved,A,57,4,0.780762,4096,0.981197,2026-06-21T18:24:01.178645+00:00
j12_drift_design_long,interleaved,B,57,4,0.751953,4096,0.981197,2026-06-21T18:24:14.199039+00:00
j12_drift_design_long,interleaved,A,58,4,0.749512,4096,0.981197,2026-06-21T18:24:27.241065+00:00
j12_drift_design_long,interleaved,B,58,4,0.759766,4096,0.981197,2026-06-21T18:24:38.104800+00:00
j12_drift_design_long,interleaved,A,59,4,0.756836,4096,0.981197,2026-06-21T18:24:50.984874+00:00
j12_drift_design_long,interleaved,B,59,4,0.756836,4096,0.981197,2026-06-21T18:25:04.053967+00:00
